Number,Reported_Date_Time,Occurred_From_Date_Time,Location,Description,Disposition,Narrative,School_Code,latitude,longitude
4 Disciplinary Referrals,12/5/25 11:40 PM,12/5/25 10:15 PM,Frieda Parker Hall,Liquor Law Violation,Judicial Review,,003137,,
7 Disciplinary Referrals,12/6/25 12:02 AM,12/5/25 10:35 PM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
6 Disciplinary Referrals,12/5/25 11:40 PM,12/5/25 10:50 PM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
6 Disciplinary Referrals,12/6/25 12:27 AM,12/5/25 11:30 PM,Tarkington Hall,Liquor Law Violation,Judicial Review,,003137,,
2 Disciplinary Referrals,12/6/25 1:57 AM,12/6/25 1:00 AM,McCutcheon Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,12/6/25 3:06 AM,12/6/25 2:15 AM,Wiley Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,12/6/25 3:52 AM,12/6/25 2:40 AM,McCutcheon Hall,Drug Law Violation,Judicial Review,,003137,,
4 Disciplinary Referrals,12/7/25 12:53 AM,12/7/25 12:15 AM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,12/8/25 12:10 AM,12/7/25 10:30 PM,Winifred Parker Hall,Drug Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,12/14/25 10:11 PM,12/14/25 9:30 PM,Winifred Parker Hall,Liquor Law Violation,Judicial Review,,003137,,
2025PU01852,12/23/25 10:04 PM,12/23/25 8:30 PM,Wood St Garage,Theft-Vehicle (Attempted)/ Criminal Mischief,Under Investigation,,003137,,
2025PU01857,12/31/25 12:24 PM,12/31/25 11:38 AM,Mitch Daniels Blvd/ US 231,Drug Law Violation,Arrest Made,,003137,,
2025PU01858,12/31/25 10:29 PM,12/31/25 10:09 PM,Cherry Ln/ US 231,Drug Law Violation,Closed,,003137,,
2026PU00002,1/1/26 11:57 PM,1/1/26 11:29 PM,Mitch Daniels Blvd/ Marsteller St,Drug Law Violation,Closed,,003137,,
2025PU01846,12/22/25 12:16 PM,12/22/25 11:35 AM,400 Block Mitch Daniels Blvd,Drug Law Violation,Nothing Further,,003137,,
2025PU01847,12/22/25 5:38 PM,12/20/25 2:00 PM,CoRec,Theft,Under Investigation,,003137,,
CAD# 2025-196044,12/20/25 7:53 PM,12/20/25 7:53 PM,Northwestern Ave/W Stadium Ave,Reckless Driver,Nothing Further,,003137,,
CAD# 2025-196304,12/21/25 12:14 PM,12/21/25 12:14 PM,Meredith South Hall,Drug Law Violation,Nothing Further,,003137,,
2025PU01830,12/19/25 10:13 AM,12/19/25 10:00 AM,Grant St Garage,Hit & Run,Under Investigation,,003137,,
2025PU01831,12/19/25 4:10 PM,12/11/25 12:00 PM,Material Management and Distribution Center,Fraud,Under Investigation,,003137,,
2025PU01832,12/20/25 12:21 AM,12/20/25 12:09 AM,Mitch Daniels Blvd/ Martin Jischke Dr,Minor Consumption,Nothing Further,,003137,,
2025PU01834,12/20/25 9:49 AM,12/20/25 9:35 AM,Mitch Daniels Blvd/ Provenance Blvd,Driving Never Receiving License,Arrest Made,,003137,,
2025PU01837,12/20/25 1:47 PM,12/9/25 12:00 PM,Wilmeth Active Learning Center,Theft,Under Investigation,,003137,,
2025PU01838,12/20/25 1:04 PM,12/17/25 3:00 PM,Hilltop Apts,Theft,Under Investigation,,003137,,
CAD# 2025-195032,12/18/25 7:20 PM,12/18/25 7:20 PM,Honors College,Drug Law Violation,Nothing Further,,003137,,
2025PU01827,12/18/25 2:48 PM,12/18/25 2:30 AM,Hawkins Graduate House,Criminal Mischief,Under Investigation,,003137,,
2025PU01828,12/19/25 1:29 AM,12/18/25 8:40 PM,CoRec,Hit & Run,Under Investigation,,003137,,
2025PU01829,12/19/25 2:37 AM,12/19/25 2:02 AM,Hilltop,Minor Consumption,Nothing Further,,003137,,
2025PU01816,12/17/25 4:02 PM,12/13/25 9:30 AM,Lambertus Hall,Theft-Bike,Under Investigation,,003137,,
2025PU01817,12/17/25 4:37 PM,12/16/25 12:48 PM,Shreve Hall,Theft,Under Investigation,,003137,,
2025PU01818,12/17/25 7:51 PM,12/17/25 7:32 PM,Hawkins Hall,Theft,Closed,,003137,,
2025PU01818,12/17/25 7:51 PM,12/10/25 11:30 AM,Hawkins Hall,Theft,Under Investigation,,003137,,
CSA,12/8/25 4:00 PM,12/6/2025  Unknown Time,Acacia Fraternity,Hazing,Nothing Further,,003137,,
2025PU01812,12/16/25 4:41 PM,12/16/25 4:04 PM,Niswonger Building,Fraud,Under Investigation,,003137,,
2025PU01814,12/16/25 7:28 PM,12/13/25 5:00 PM,Wiley Hall,Theft-Bike,Suspended,,003137,,
2025PU01815,12/16/25 9:28 PM,12/15/25 12:00 PM,Meredith South,Burglary,Suspended,,003137,,
CAD# 2025-193447,12/15/25 11:24 PM,12/15/25 11:24 PM,Wiley Hall,Drug Law Violation,Nothing Further,,003137,,
CSA,12/16/25 7:00 PM,12/16/25 1:00 PM,Shreve Hall,Theft,Nothing Further,,003137,,
2025PU01785,12/11/25 7:02 AM,12/10/25 1:00 PM,Owen Hall,Blackmail,Under Investigation,,003137,,
2025PU01790,12/12/25 9:41 AM,12/8/25 1:20 PM,Stewart Center,Hit & Run,Arrest Made,,003137,,
2025PU01792,12/12/25 3:29 PM,10/29/25 5:45 PM,Lilly Hall,Theft-EMPV,Under Investigation,,003137,,
2025PU01793,12/12/25 4:03 PM,12/12/25 1:37 PM,Alpha Kappa Lambda,Harassment,Under Investigation,,003137,,
2025PU01797,12/13/25 12:13 AM,12/12/25 11:50 PM,Tarkington Hall,Minor Consumption,Closed,,003137,,
2025PU01798,12/13/25 12:29 AM,12/13/25 12:09 AM,Wilmeth Active Learning Center,Public Intoxication/ Minor Consumption,Closed,,003137,,
2025PU01800,12/13/25 12:57 AM,12/13/25 12:37 AM,Glenwood Cooperative,Minor Consumption,Pending Prosecutor Review,,003137,,
2025PU01802,12/13/25 5:15 AM,12/13/25 4:47 AM,Hillenbrand Hall,Minor Consumption,Closed,,003137,,
2025PU01804,12/13/25 11:45 AM,12/12/25 10:50 PM,Owen Hall,Theft-Bike,Under Investigation,,003137,,
2025PU01806,12/13/25 11:34 PM,12/13/25 11:13 PM,Shreve Hall,Minor Consumption,Closed,,003137,,
2025PU01808,12/14/25 8:25 AM,12/13/25 10:00 PM,Purdue Memorial Union Hotel,Harassment,Under Investigation,,003137,,
CAD# 2025-191272,12/12/25 12:14 AM,12/12/25 12:14 AM,Owen Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2025-191573,12/12/25 12:40 PM,12/12/25 12:40 PM,PMU,Theft,Nothing Further,,003137,,
2025PU01788,12/11/25 6:27 PM,12/11/25 12:00 PM,1000 Mitch Daniels Blvd,Fraud,Under Investigation,,003137,,
2025PU01789,12/11/25 10:59 PM,12/11/25 4:00 PM,Krannert Center,Theft-EMPV,Under Investigation,,003137,,
CAD# 2025-190491,12/10/25 7:40 PM,12/10/25 7:40 PM,US HWY 231 S/Airport Rd,Reckless Driver,Nothing Further,,003137,,
CAD# 2025-190500,12/10/25 7:48 PM,12/10/25 7:48 PM,US HWY 231 S/S River Rd,Operating w/out Ever Receiving a License,Documented 2025WL02916,,003137,,
CAD# 2025-190614,12/10/25 11:54 PM,12/10/25 11:54 PM,Hillenbrand Hall,Drug Law Violation,Nothing Further,,003137,,
2025PU01786,12/10/25 9:52 PM,12/1/25 12:00 PM,Northwestern Parking Garage,Theft-EMPV,Under Investigation,,003137,,
2025PU01773,12/8/25 12:43 PM,10/20/25 12:00 AM,Honors College North,Fraud,Under Investigation,,003137,,
2025PU01775,12/8/25 3:19 PM,12/1/25 3:00 PM,Beta Upsilon Chi,Theft-Bike,Under Investigation,,003137,,
2025PU01776,12/8/25 4:25 PM,12/8/25 3:57 PM,Cary Quadrangle,Theft,Under Investigation,,003137,,
2025PU01779,12/9/25 12:25 AM,12/8/25 11:55 PM,Tarkington Hall,Criminal Mischief,Pending Prosecutor Review,,003137,,
2025PU01780,12/9/25 2:02 AM,12/9/25 1:31 AM,1st St/ N Martin Jischke Dr,Drug Law Violation,Nothing Further,,003137,,
CAD# 2025-188255,12/6/25 3:21 PM,12/6/25 3:21 PM,Grant St Parking Garage,Drug Law Violation,Nothing Further,,003137,,
CAD# 2025-188469,12/6/25 11:03 PM,12/6/25 11:03 PM,Continuum,Drug Law Violation,Nothing Further,,003137,,
CSA,12/4/25 10:00 PM,12/4/25 1:45 AM,400 Blk W Wood St,Stalking,Nothing Further,,003137,,
CSA,12/7/25 6:00 PM,November 2025,Meredith South,Theft,Nothing Further,,003137,,
CSA,12/8/25 4:00 PM,12/8/25 11:30 AM,Young Hall,Fight,Nothing Further,,003137,,
2025PU01760,12/5/25 8:23 PM,12/5/25 7:25 PM,TREC,Theft,Under Investigation,,003137,,
2025PU01761,12/6/25 1:08 AM,12/6/25 12:46 AM,McCutcheon Hall,Minor Consumption,Closed,,003137,,
2025PU01762,12/6/25 1:19 AM,12/6/25 1:00 AM,414 N Russell St,Minor Consumption,Pending Prosecutor Review,,003137,,
2025PU01763,12/6/25 2:28 AM,12/6/25 2:08 AM,Wiley Hall,Minor Consumption,Closed,,003137,,
2025PU01767,12/6/25 11:57 PM,12/6/25 11:34 PM,Meredith Hall,Minor Consumption,Closed,,003137,,
2025PU01768,12/7/25 1:29 AM,12/7/25 1:08 AM,Honors College North,Minor Consumption,Closed,,003137,,
2025PU01769,12/7/25 2:26 AM,12/7/25 2:05 AM,Hilltop Apts,Minor Consumption,Closed,,003137,,
2025PU01771,12/7/25 11:00 PM,12/7/25 10:35 PM,Winifred Parker Hall,Drug Law Violation,Nothing Further,,003137,,
2025PU01772,12/7/25 11:06 PM,12/4/25 7:00 PM,300 Blk Waldron St,Theft,Under Investigation,,003137,,
2025PU01754,12/4/25 4:41 PM,12/4/25 3:30 PM,1300 Blk Beering Dr,Hit & Run,Under Investigation,,003137,,
2025PU01755,12/4/25 5:10 PM,12/4/25 4:15 PM,1200 Blk 3rd St,Voyeurism,Arrest Made,,003137,,
2025PU01757,12/4/25 11:10 PM,12/4/25 1:30 PM,Lambertus Hall,Theft,Under Investigation,,003137,,
2025PU01758,12/4/25 11:28 PM,12/4/25 11:17 PM,CoRec,Theft,Under Investigation,,003137,,
CAD# 2025-186671,12/3/25 10:47 PM,12/3/25 10:47 PM,Meredith South Hall,Drug Law Violation,Nothing Further,,003137,,
2025PU01749,12/3/25 3:50 PM,11/24/25 3:00 AM,Hawkins,Burglary,Under Investigation,,003137,,
2025PU01751,12/3/25 9:00 PM,12/3/25 6:45 PM,CoRec,Theft,Under Investigation,,003137,,
2025PU01752,12/3/25 9:58 PM,12/3/25 7:30 PM,Windsor Halls,Computer Trespass/ Intimidation,Under Investigation,,003137,,
CAD# 2025-185690,12/2/25 11:53 AM,12/2/25 11:53 AM,Wood St Parking Garage,Reckless Driver,Nothing Further,,003137,,
2025PU01745,12/2/25 9:10 PM,12/2/25 8:55 PM,Shreve Hall,Criminal Mischief,Under Investigation,,003137,,
2025PU01746,12/2/25 10:17 PM,11/26/25 5:38 PM,Aspire Apts,Theft,Under Investigation,,003137,,
CAD# 2025-185441,12/1/25 9:27 PM,12/1/25 9:27 PM,400 Blk N Martin Jischke Dr,Reckless Driver,Nothing Further,,003137,,
CAD# 2025-185445,12/1/25 9:34 PM,12/1/25 9:34 PM,Airport Rd/ Aviation Dr,Reckless Driver,Nothing Further,,003137,,
2025PU01741,12/1/25 7:57 AM,11/26/25 6:00 PM,Heine Pharmacy Building,Theft,Under Investigation,,003137,,
2025PU01742,12/1/25 1:17 PM,11/26/25 5:00 PM,Heine Pharmacy Building,Criminal Mischief/ Theft,Under Investigation,,003137,,
CAD# 2025-183151,11/27/25 5:07 PM,11/27/25 5:07 PM,US HWY 231 S/Airport Rd,Reckless Driver,Nothing Further,,003137,,
CAD# 2025-183307,11/28/25 12:53 AM,11/28/25 12:53 AM,Ross-Ade Stadium,Trespass,Nothing Further,,003137,,
CAD# 2025-183683,11/28/25 7:44 PM,11/28/25 7:44 PM,Cherry Ln/Northwestern Ave,Public Intoxication,Nothing Further,,003137,,
CAD# 2025-184194,11/29/25 3:18 PM,11/29/25 3:18 PM,Phi Kappa Sigma,Criminal Mischief,Documented 2025WL02826,,003137,,
CAD# 2025-184265,11/29/25 5:48 PM,11/29/25 5:48 PM,W Stadum Ave/McCormick Rd,Hit & Run,Nothing Further,,003137,,
CAD# 2025-184880,11/30/25 10:57 PM,11/30/25 10:57 PM,Winifred Parker Hall,Drug Law Violation,Nothing Further,,003137,,
8 Disciplinary Referrals,11/15/25 1:39 AM,11/15/25 12:15 AM,3rd and West Apts.,Liquor Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,11/15/25 5:20 PM,11/15/25 3:00 PM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,11/20/25 1:59 AM,11/20/25 12:45 AM,Hawkins Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,11/24/25 2:46 PM,11/21/25 12:00 AM,Meredith South,Liquor Law Violation,Judicial Review,,003137,,
6 Disciplinary Referrals,11/22/25 12:03 AM,11/21/22 10:00 PM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
9 Disciplinary Referrals,11/22/25 2:02 AM,11/22/25 12:30 AM,Owen Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,11/25/25 1:59 AM,11/22/25 1:00 AM,Honors College,Drug Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,11/22/25 10:53 AM,11/22/25 7:00 AM,Hawkins Hall,Liquor Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,11/22/25 9:21 PM,11/22/25 8:45 PM,Winifred Parker Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,11/24/25 11:40 AM,11/23/25 3:04 AM,Owen Hall,Drug Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,11/25/25 2:20 AM,11/25/25 1:00 AM,Windsor Hall,Drug Law Violation,Judicial Review,,003137,,
2025PU01724,11/27/25 2:09 PM,11/26/25 3:30 PM,Shreve Hall,Blackmail,Under Investigation,,003137,,
2025PU01726,11/27/25 11:27 PM,11/27/25 10:47 PM,Mitch Daniels Blvd/ Marsteller St,Driving Never Receiving License,Arrest Made,,003137,,
2025PU01729,11/28/25 8:49 PM,11/28/25 8:30 PM,Ross Ade Stadium,Minor Consumption,Closed,,003137,,
2025PU01730,11/28/25 8:55 PM,11/28/25 8:55 PM,Ross Ade Stadium,Minor Consumption,Closed,,003137,,
2025PU01731,11/28/25 9:10 PM,11/28/25 9:00 PM,Ross Ade Stadium,Battery,Closed,,003137,,
2025PU01733,11/29/25 1:16 PM,11/20/25 7:00 PM,Krannert Center,Theft-Bike,Under Investigation,,003137,,
2025PU01736,11/30/25 11:13 AM,11/28/25 11:16 PM,Meredith South,Theft-Bike,Under Investigation,,003137,,
2025PU01737,11/30/25 6:23 PM,11/30/25 5:34 PM,Meredith South,Theft,Under Investigation,,003137,,
2025PU01738,11/30/25 7:17 PM,11/30/25 6:50 PM,3rd & West,Fraud,Under Investigation,,003137,,
2025PU01739,11/30/25 10:58 PM,11/30/25 10:31 PM,Ahlers Dr/ S River Rd,Drug Law Violation,Closed,,003137,,
